¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69746
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70883
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.22862
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.18521
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15014
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.78455
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.90858
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.06358
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.95473
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.93457
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.22792
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.66481
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.64985
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.63741
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.62746
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.62001
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.89157
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142381
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.615405
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.182163
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.415094
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08041
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64278
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17937
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75671
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78985
(380.43, 15.00, 271.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89117
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.9651
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.93277
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.7946
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.7655
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.73884
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.96434
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.94416
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.17563
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15974
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14614
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.07017
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.63817
(380.43, 15.00, 271.78) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.63071
