¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ (379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.555901
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.551813
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.548264
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.176009
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.158031
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.140721
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.124064
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.108044
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.092646
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.077857
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.184275
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.32506
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.479414
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.649366
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.671537
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.657659
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.644428
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.631832
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.619861
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.095178
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.085959
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.077252
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.289536
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.569066
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.560662
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.552826
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.545553
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.538837
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.532672
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.527055
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.52198
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.517443
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.513443
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.509975
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.141361
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.123624
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.106546
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.090114
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.07431
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.059122
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.044902
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.172874
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.31259
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.465721
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.634262
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.632027
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.618345
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.605303
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.592887
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.581092
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.062067
Ÿ (379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.052983
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.044407
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.264598
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.531059
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.522787
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.515078
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.507925
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.501322
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.495265
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.489748
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.484769
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.480322
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.476405
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.473014
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.107936
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.09043
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.073577
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.057359
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.041763
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.026777
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.034538
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.161584
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.300248
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.452171
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.608037
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.593902
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.580408
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.567546
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.555304
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.543674
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.030109
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.021157
(379.47, 16.22, 287.19) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.012707
