¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84536
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.44328
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.568026
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.700699
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.842056
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.991786
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.151778
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.323186
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.507243
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.705366
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.919932
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.146729
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39231
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659366
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.950791
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.268857
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.173188
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58215
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035645
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541212
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09756
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71096
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41049
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22732
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17225
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27773
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5174
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01366
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92998
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9701
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.448388
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.573449
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.706466
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.848137
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.998193
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158627
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.330525
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.515126
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.713854
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.928863
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156126
(377.58, 15.54, 291.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.402501
