¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.244862
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570301
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.927589
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316379
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.74354
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871405
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46539
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1372
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87393
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70758
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68659
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88088
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36906
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24974
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84459
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.939292
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.08415
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.238111
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402519
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578443
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.767098
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.96688
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183452
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.41773
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671498
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945905
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.24189
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.567047
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.924014
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.311423
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.738051
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.866592
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45994
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13103
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8645
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69676
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67718
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86967
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36046
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23906
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82448
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938758
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.083477
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.237394
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.401754
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.577623
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.76622
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.965306
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.182026
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.41619
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669827
Ô(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.942992
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.239161
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564062
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.920733
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.306812
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.732943
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.211386
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45497
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12537
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8557
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68668
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6685
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85948
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35287
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22962
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.79375
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938321
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.082914
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.236794
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.401113
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.576936
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765411
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.964044
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.180769
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414832
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668355
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94032
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23668
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.561342
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.917579
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.302546
(375.17, 14.90, 294.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.728217
