¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900449
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.255504
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.645374
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075312
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.551752
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08256
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.74941
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.21555
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.62921
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.999964
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274167
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571887
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896246
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250976
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.640351
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.069759
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545563
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06712
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.78791
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.1768
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.59936
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996632
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270556
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567952
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891961
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246217
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.635147
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064012
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.536274
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04583
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.82563
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.13704
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.56782
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993177
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.26682
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563906
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887541
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241391
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629811
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058115
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517067
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02442
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59062
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11253
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.53308
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989628
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262964
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559711
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882963
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236351
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.62428
š(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042396
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.49778
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00294
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5666
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.0936
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.498
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985972
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258997
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555364
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.878245
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.231184
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618626
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.024904
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478375
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981409
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54246
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.06828
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.46832
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98222
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.254917
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550949
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873376
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225891
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6128
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007355
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.458942
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959809
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51828
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.03675
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.43873
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978348
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250722
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546389
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86842
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.220432
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606779
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004341
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439443
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.938133
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49405
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.00866
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.40871
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974384
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246411
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541691
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863326
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214812
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600619
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00215
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421708
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91636
–(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46973
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.98198
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.37833
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.98172
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970291
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242017
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536899
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858055
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209116
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594288
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999912
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419271
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.894558
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44537
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.95496
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.34761
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.95193
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966147
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237457
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531974
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852698
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203205
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587828
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997639
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416758
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.878364
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42092
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.92751
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.31907
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.91994
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961866
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232847
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526939
(378.59, 14.16, 302.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847176
