¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76533
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89127
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87265
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753189
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.930086
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.028274
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.018945
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.010542
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.003057
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.996484
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.990818
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.986057
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.982194
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.979228
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.977158
(389.11, 14.70, 305.89) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 5.975981
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11863
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74214
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35484
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95361
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76442
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69538
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6114
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56963
(389.11, 14.70, 305.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76015
