¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79074
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3659
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00771
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7227
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43311
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22977
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14163
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26595
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.59048
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.21607
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.10685
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.48083
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.67094
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.67567
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.64955
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.60203
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.54688
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.56044
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.57725
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.5973
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.62062
(400.20, 14.60, 307.17) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 21.64723
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.451636
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756251
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.088091
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.450883
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.841882
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.252514
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.704664
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20486
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75154
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32234
(400.20, 14.60, 307.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95894
