¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú (403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.224211
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.221278
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.219423
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.218647
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.218947
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.220327
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.222784
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.226323
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467901
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70598
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.963352
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24233
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531505
(403.39, 14.95, 307.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845923
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.86365
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.841967
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.821436
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.802041
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.783764
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.766593
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.750514
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.735513
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.72158
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.708704
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.696876
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.686083
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.676323
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 6.667583
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.064684
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.513525
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.190555
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.186546
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.183615
(403.39, 14.95, 307.09) (426.17, 14.38, 302.82) (8.74, 13.80, 17.46) Truck 7.181756
