¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02846
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88968
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.99412
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.349044
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.473598
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.606203
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.747639
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.896967
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.055136
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.219781
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.396344
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.586135
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.790658
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020629
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267137
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.535489
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.828914
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.157391
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.511681
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.904112
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.357895
(413.85, 15.30, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.837559
