¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22994
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3973
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57086
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75087
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90698
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.295207
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.469179
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.655861
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.856636
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.073132
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307199
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559351
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.768156
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991776
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231788
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490042
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.76858
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06991
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.382272
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075043
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963873
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92942
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8294
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60262
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87756
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07601
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28264
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49798
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7225
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95673
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19784
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36235
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53288
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70978
(381.78, 10.78, 326.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89328
