¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.403946
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.584441
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.778368
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.987114
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.212509
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456483
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670354
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885872
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116857
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365033
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632304
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920942
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200482
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.678316
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476411
(381.67, 10.72, 326.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35164
