¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47635
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75928
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0552
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35063
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.551
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75886
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97462
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19856
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36273
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53233
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70794
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8898
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07816
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44046
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.87779
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226331
(370.01, 9.86, 324.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509213
