¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ç(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.9857
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.92624
(365.22, 9.90, 323.00) (326.42, 1.99, 304.25) (6.00, 2.95, 8.43) Truck 22.96791
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.808054
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120665
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.476023
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814191
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.161479
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601715
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.971106
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41614
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05302
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77098
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45954
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25318
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95887
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.69185
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08886
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03632
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10526
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29069
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48214
(365.22, 9.90, 323.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57366
