¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916132
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267322
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.654414
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.0811
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.549013
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06522
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64212
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29066
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78555
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72328
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75187
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9286
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32143
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61972
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21748
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.36915
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.29869
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.312888
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.455447
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.606673
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.767455
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.899586
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874389
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92893
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.122937
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328906
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.550226
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788637
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.046148
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.325105
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.624289
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.948412
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.30396
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.694783
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125303
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.594229
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11555
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69849
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35067
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86169
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80168
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84807
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02859
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44802
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75885
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.41922
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.18042
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.13565
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.329061
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.472528
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.624837
¢(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.786729
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.957773
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.921126
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.957734
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.144059
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.351548
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574557
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81485
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074471
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354494
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.654557
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982218
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.341513
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.736043
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167098
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.640517
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1671
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75636
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41223
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93975
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88225
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94699
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13161
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57825
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90258
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50825
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.21815
(355.64, 9.49, 317.20) (328.32, 1.38, 332.10) (0.81, 2.16, 0.81) Human 20.16121
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.345459
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.489928
(355.64, 9.49, 317.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.643265
