¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722131
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24852
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83684
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4987
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2486
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30337
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63587
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41155
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.90481
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 14.56466
(353.29, 9.36, 316.17) (326.42, 1.99, 304.25) (6.01, 2.95, 8.43) Truck 14.43399
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.027859
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.139586
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.258344
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.384789
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.51967
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.66383
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.818232
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.983978
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.162329
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.354748
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.562931
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241465
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496065
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78336
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098356
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44516
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823992
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224031
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668493
(353.29, 9.36, 316.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165222
