¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2447
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73082
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26582
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79844
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38587
(335.46, 7.07, 319.95) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.56224
(335.46, 7.07, 319.95) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.29138
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71826
(335.46, 7.07, 319.95) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.48538
(335.46, 7.07, 319.95) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.40322
(335.46, 7.07, 319.95) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.41383
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.85748
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.12991
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.21385
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.19859
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.00635
(335.46, 7.07, 319.95) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.57967
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.502018
(335.46, 7.07, 319.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613601
