¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 15.17189
(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 13.02754
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.68653
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927946
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193974
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482507
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796282
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.1388
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514184
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.737897
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.717126
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.697748
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.707253
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.793997
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.883826
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.977013
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.270124
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.163
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.29312
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.65512
(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 13.13801
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.7956
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.93745
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204269
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493672
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808457
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15215
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528816
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.607483
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.586893
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.567679
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.606066
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.690499
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.777929
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.914818
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.203659
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.06659
(335.71, 7.29, 321.32) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.23135
(335.71, 7.29, 321.32) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 13.43975
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.2942
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.90463
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946853
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214519
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504756
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820562
(335.71, 7.29, 321.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165413
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.50391
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.482128
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.461718
(335.71, 7.29, 321.32) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 8.442664
