°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802674
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.083334
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.389299
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724095
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.647133
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080958
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.562087
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10159
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73164
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44735
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25931
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15662
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19793
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42069
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0075
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79742
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11291
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11883
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.521641
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.700473
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.892185
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098182
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320081
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.559756
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819385
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.101515
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.409149
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.745855
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115888
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109264
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.593575
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14038
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77555
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49746
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31113
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21641
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2677
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50318
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10847
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.91943
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27204
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35109
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.532438
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.712032
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904586
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.111521
(335.93, 7.37, 322.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334464
