¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94371
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67315
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55759
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36139
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02609
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.40301
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00784
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95074
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59456
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.27275
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.18252
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.16272
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.14625
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.13307
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.12331
(337.03, 7.51, 341.91) (317.24, 1.19, 371.75) (0.81, 2.16, 0.81) Human 22.16539
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42177
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64375
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882662
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140514
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419606
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.722566
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.052594
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413406
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.81893
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267496
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.765628
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32195
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94723
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66793
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55153
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.35112
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07734
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43262
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03737
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05279
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.23599
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.421373
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.643338
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882194
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140009
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419038
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721951
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051947
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415114
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82122
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269986
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.768384
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32506
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95077
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66252
‡(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54525
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34133
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13014
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4621
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06813
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.15693
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.43334
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420972
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642871
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881744
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139522
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418492
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721363
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051269
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.417157
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823463
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27249
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.77117
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32817
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95426
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66301
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53876
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33195
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13732
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49135
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11035
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26326
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33305
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420562
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642449
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881237
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139012
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417946
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720757
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050622
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419174
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825676
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274929
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773898
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33125
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95772
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66695
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53208
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32304
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16108
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52047
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20542
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35421
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42949
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420187
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642015
…(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880791
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138503
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417397
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720215
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051379
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421144
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.827908
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.277389
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776635
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33429
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96114
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67085
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52518
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3146
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19062
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5521
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.30242
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.44223
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52242
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.419787
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641589
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.880348
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138012
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416871
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719617
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053183
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423161
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830092
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.279808
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.779303
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3373
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96458
(337.03, 7.51, 341.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67472
