¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.102398
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.519541
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.982248
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.499315
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09518
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78082
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56314
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44473
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.523
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.81873
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56812
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50695
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.87858
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.85395
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.8322
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.8133
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.79724
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.78401
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.7736
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.766
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.76121
(326.21, 7.61, 366.84) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.75921
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.695459
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.881861
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.081814
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.300966
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541841
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802194
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.085569
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.392169
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724167
(326.21, 7.61, 366.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.094632
