¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018921
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282183
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56714
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876539
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213591
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582112
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98668
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432732
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906972
(322.40, 7.47, 369.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38373
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.28663
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.13828
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.09358
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.07002
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.04811
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.02782
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 10.00909
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.992016
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.976429
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.962468
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.950015
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.939106
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.929764
(322.40, 7.47, 369.33) (343.45, 1.10, 383.30) (0.81, 2.16, 0.81) Human 9.922862
