¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.601713
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.589949
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.579538
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.570443
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.562688
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.556246
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.551111
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.547282
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.554834
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.593374
(323.69, 7.67, 370.39) (343.45, 1.15, 381.82) (0.81, 2.16, 0.81) Human 8.677599
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.903655
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.098998
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308739
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534447
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.777926
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041331
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327171
(323.69, 7.67, 370.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63842
