¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.752773
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.948378
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158704
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385437
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630531
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.89626
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.185297
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.50079
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846483
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.226869
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.64737
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114609
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.636744
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21571
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85486
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58054
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41569
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42061
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61288
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04027
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.77965
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85616
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.50692
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753594
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.94926
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.159653
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.386462
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63164
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897465
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.186609
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.502223
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.848058
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.228607
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.649294
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.116753
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.639146
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21853
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85806
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58391
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.41987
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42536
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61852
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04708
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.78803
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.87134
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.52051
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.754432
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.950159
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.160622
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387507
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632771
ë(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898695
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.187947
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.503687
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.849665
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.230378
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.651258
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.11894
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.641599
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22146
(338.91, 7.22, 370.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86137
