¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.16518
(339.63, 7.18, 369.48) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.96793
(339.63, 7.18, 369.48) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.37285
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.37647
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.02045
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.89045
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.85256
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.84521
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.87033
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.9756
(339.63, 7.18, 369.48) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.17785
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328172
(339.63, 7.18, 369.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547733
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.361536
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.161133
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.083591
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.061038
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.039551
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.01911
(339.63, 7.18, 369.48) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.001337
