¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89882
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46486
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65875
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.19262
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.22812
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.22603
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4218
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.31486
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.666942
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723607
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.782231
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.843025
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.905974
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.971151
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038746
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1088
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.181421
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256743
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334871
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.415947
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500108
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587526
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678312
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775893
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140854
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548585
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006983
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.525974
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090691
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.731694
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47269
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06221
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39248
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57051
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08354
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.09097
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.03934
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59269
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.697234
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.754607
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.814055
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.875617
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.939392
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005483
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.073963
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144962
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21856
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294917
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.374145
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456316
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541697
ä(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630335
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722402
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818134
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112879
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517283
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.971692
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485935
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052764
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.688199
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42122
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23189
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32196
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48602
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97756
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95795
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.8587
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76978
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.728354
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.786531
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.846756
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909182
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973794
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04078
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110215
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182203
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256816
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334252
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414587
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497959
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584509
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674438
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76786
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.86501
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.085462
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486603
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937157
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446733
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015758
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645753
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37209
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25497
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44856
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40386
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87457
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.82892
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.68389
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10082
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.760375
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.81931
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.880407
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.943679
ò(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009226
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077148
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147521
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.220535
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296237
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.374762
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456247
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.540832
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.628655
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71992
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814739
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913319
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058559
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456533
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903301
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408319
(353.31, 7.15, 354.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.979624
