¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873481
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.256105
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679196
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149407
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675025
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26635
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93639
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67652
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35413
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.132
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02862
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94338
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81946
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27017
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33615
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40522
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47751
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55303
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63185
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71401
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79963
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88875
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98148
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07788
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.649274
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.828596
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.020603
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.226654
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.448302
(361.36, 7.16, 352.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.68735
