¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.097306
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.09761
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.117332
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.162336
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.249128
(324.10, 7.21, 396.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001876
(324.10, 7.21, 396.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240999
(324.10, 7.21, 396.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495178
(324.10, 7.21, 396.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772318
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.497894
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.370258
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.307849
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.275635
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.253373
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.23248
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.212943
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.194717
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.177805
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.162187
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.147838
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.134765
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.122923
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.112327
(324.10, 7.21, 396.58) (334.47, 1.35, 378.66) (0.81, 2.16, 0.81) Human 6.102952
