¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50013
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31083
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05919
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89598
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83994
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86174
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39331
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70841
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.63128
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.60425
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.58187
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.56413
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.551
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.54247
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.53853
(327.06, 7.26, 384.93) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.48935
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395266
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650229
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927767
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234221
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556119
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901589
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.281909
(327.06, 7.26, 384.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.70244
