¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71508
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95595
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20878
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47432
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29298
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3395
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87827
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89683
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.55886
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726379
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087329
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48535
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926416
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.417796
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.968471
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58973
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26947
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03245
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47908
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76934
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07076
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32844
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59921
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48642
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64096
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14664
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.98011
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.11808
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731458
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09289
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.491505
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.93327
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.425451
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977105
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59955
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28322
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05216
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52981
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.82268
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13218
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45218
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82699
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6861
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94944
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4239
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94766
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.33224
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736294
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098228
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.497421
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.939837
–(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432824
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.985382
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60892
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29674
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07144
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58247
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87797
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19034
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52095
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01049
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89225
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15571
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71051
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.93985
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.32575
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740969
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10337
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503102
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946148
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.439854
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.993304
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61792
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30989
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0903
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63702
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93532
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25068
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58451
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19137
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10516
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36818
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98036
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.95237
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.64381
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.745418
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.108248
(336.10, 7.32, 349.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508522
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.861993
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.75989
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.728701
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.699305
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.671638
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.645695
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.621444
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.598845
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.57788
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.558504
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.540729
(336.10, 7.32, 349.14) (340.79, 1.26, 325.58) (0.81, 2.16, 0.81) Human 7.524536
