¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(336.96, 7.47, 334.06) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 23.49479
(336.96, 7.47, 334.06) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 23.489
(336.96, 7.47, 334.06) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 23.4878
(336.96, 7.47, 334.06) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 23.49118
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.81019
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.02788
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.26374
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520198
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799853
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106085
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442673
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814381
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19863
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533658
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.86026
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21476
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600719
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02246
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48509
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40224
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06084
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79395
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76138
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12267
(336.96, 7.47, 334.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21321
(336.96, 7.47, 334.06) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 23.21223
(336.96, 7.47, 334.06) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 23.19287
(336.96, 7.47, 334.06) (317.06, 0.43, 300.91) (1.38, 1.43, 1.42) Tools 23.17804
(336.96, 7.47, 334.06) (317.06, 1.79, 300.91) (1.35, 1.43, 1.40) Tools 23.15351
