¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î (415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.941947
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.937016
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.933443
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.931224
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.930357
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.930841
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.932677
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.935867
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.940414
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.946321
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.953594
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.962243
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.972273
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10015
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16575
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11856
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82241
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84387
(415.85, 12.92, 329.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27797
(415.85, 12.92, 329.65) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.07383
(415.85, 12.92, 329.65) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.16035
(415.85, 12.92, 329.65) (422.31, 11.91, 307.19) (16.45, 8.87, 8.72) Truck 6.959418
