¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55945
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25421
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92403
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.9645
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.96693
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.97345
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.738301
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.789798
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.843835
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.900583
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.960231
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.045121
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.175768
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.318804
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.412798
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.520205
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.63308
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.787312
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.025093
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63902
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90051
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43074
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11067
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8055
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.85281
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.85508
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.718917
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.769582
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.822731
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.878533
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.937169
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.029445
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.158656
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.300051
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.353902
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.458762
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.568918
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.732888
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.965972
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61455
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87492
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34122
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97141
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69056
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.7463
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.74841
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.75456
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.700048
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.749908
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.802202
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.85709
‡ (419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.914752
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.014015
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.14182
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.281612
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.296919
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.399344
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.506904
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.67995
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.908514
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59182
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86596
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30805
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86631
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56491
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64483
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64679
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.65277
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.681682
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.730767
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.782233
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.836241
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.892962
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.998833
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.125263
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.329091
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.241778
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.341877
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.446955
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.628457
(419.02, 13.65, 325.85) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.861898
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57081
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85878
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27636
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83166
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44228
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.54831
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.55012
(419.02, 13.65, 325.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.55595
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.663807
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.712142
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.762811
(419.02, 13.65, 325.85) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 2.815969
