¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.34476
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.70876
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 17.07369
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.222904
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376598
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.5319
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649074
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771908
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.90073
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0359
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177958
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329179
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50881
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.69903
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90073
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114843
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342633
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521233
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708061
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904995
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.1129
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.520443
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979095
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50593
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21582
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84028
(417.18, 14.61, 315.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.241
