¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.73151
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.56436
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.4037
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.24926
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792306
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008754
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242475
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496429
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773301
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.064506
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388158
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75507
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.143501
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588642
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.080437
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.622373
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22504
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.90967
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65559
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54884
