¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
å(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726756
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129745
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567177
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05622
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.788981
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.761568
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.10964
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.915146
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.888671
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.863904
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.840823
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.819396
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.799601
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.139689
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.03352
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.931608
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.429933
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.426636
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.424789
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.424388
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.425437
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.409758
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.61054
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821776
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060383
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320671
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053851
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377185
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737923
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.14171
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.580533
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071216
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.871552
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.843777
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.206045
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.177342
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.972401
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.947259
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.92382
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.90206
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.881952
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.231019
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.122547
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.296739
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.292097
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.288883
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.287089
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.286719
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.287768
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.414804
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615995
Û(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830823
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.067484
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.328427
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060005
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38393
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.749249
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153946
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594157
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086488
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.957479
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.929325
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.306363
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.27726
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.059534
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.034004
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.010192
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.988078
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.967641
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.178491
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.171137
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.165194
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.160656
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.157516
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.155775
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.15543
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.156479
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419923
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.62153
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839898
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.074671
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.336279
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066301
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390854
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.760678
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166369
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607998
(398.31, 14.63, 309.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101987
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.288569
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.018357
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 9.18989
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.391825
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.150219
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.124283
(398.31, 14.63, 309.94) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.100085
