¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495783
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.943457
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.339855
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.473621
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.442467
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.430254
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.403241
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.377861
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.95129
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.902716
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.856143
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.811515
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.759062
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.812506
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.916863
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.026233
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.140941
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.261346
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.387835
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.84098
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.049592
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274935
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519006
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784188
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073346
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.382027
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719362
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090618
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.501129
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.938035
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.370405
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.366871
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.47752
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.461139
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.433961
(378.99, 15.87, 285.24) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.408427
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.289835
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.322528
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.395318
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.481896
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.572402
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.667071
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.766155
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.86993
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 5.978695
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.092779
(378.99, 15.87, 285.24) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 6.212536
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842593
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051327
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276807
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521035
ı(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786436
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075749
(378.99, 15.87, 285.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386265
