¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.94288
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.91275
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.8849
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.8593
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.83594
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.81477
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.79579
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.77897
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.16106
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.14846
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.13826
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.13043
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.475242
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.668645
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.877389
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10333
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348635
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615828
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906489
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22205
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523261
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824451
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.179633
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.578403
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019957
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552174
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4633
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.05695
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.02418
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.99373
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.96559
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.93971
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.91609
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.89468
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.87547
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.85844
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.21501
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.20231
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.192
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.18409
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.48065
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.674461
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.883687
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110179
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.356059
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623912
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.912674
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228836
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.539706
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842301
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.171851
ê(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564163
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004143
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.493748
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38338
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.14202
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.10889
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.07812
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.04967
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.0235
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.9996
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.97794
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.95849
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.94124
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.27185
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.25903
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.24862
(378.40, 15.16, 277.66) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 12.24062
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486162
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.680422
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.890104
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.117131
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363644
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630117
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.919092
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23584
