¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (378.35, 14.93, 275.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.480248
(378.35, 14.93, 275.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755194
(378.35, 14.93, 275.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055924
(378.35, 14.93, 275.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386195
(378.35, 14.93, 275.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741464
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.554061
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.529518
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.506592
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.485262
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.465502
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.447295
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.430621
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.415465
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.40181
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.389644
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.378953
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.369729
(378.35, 14.93, 275.79) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 8.108304
(378.35, 14.93, 275.79) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 9.863786
(378.35, 14.93, 275.79) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.3874
(378.35, 14.93, 275.79) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.39083
(378.35, 14.93, 275.79) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.39629
(378.35, 14.93, 275.79) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.40379
(378.35, 14.93, 275.79) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.41333
