¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911835
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182486
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.474957
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791285
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264966
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18188
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93879
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.34025
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.37882
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.42005
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.464
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.51071
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.81402
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 11.61889
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.25009
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.30645
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.36575
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.42806
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.49344
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.56198
(396.40, 13.91, 248.37) (414.06, 9.12, 232.70) (1.88, 1.40, 1.43) Tools 12.63376
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609577
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881632
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178523
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41956
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655121
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906635
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.1769
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467986
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782342
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197209
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09988
(396.40, 13.91, 248.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95257
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.77972
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.82222
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.86751
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.91565
(396.40, 13.91, 248.37) (414.06, 7.73, 232.70) (1.88, 1.40, 1.43) Tools 12.9667
(396.40, 13.91, 248.37) (414.30, 9.12, 233.94) (1.88, 1.40, 1.43) Tools 10.75826
