¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(404.31, 14.29, 245.83) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 10.38267
(404.31, 14.29, 245.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.40911
(404.31, 14.29, 245.83) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 18.52922
(404.31, 14.29, 245.83) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 18.63115
(404.31, 14.29, 245.83) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 18.58003
(404.31, 14.29, 245.83) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 18.34506
(404.31, 14.29, 245.83) (435.03, 9.89, 233.86) (2.32, 1.85, 2.92) Tools 18.03818
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482692
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74704
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.035289
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350762
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697432
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080095
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504484
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.977828
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508898
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05202
(404.31, 14.29, 245.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54017
