¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.321538
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019412
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327007
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664364
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03587
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446987
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904276
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.415837
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991819
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6451
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40904
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31017
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36868
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76919
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67642
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64909
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.37122
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.323424
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586915
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328817
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666317
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038063
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449428
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906986
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418874
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.995269
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64901
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41843
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32115
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39371
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80432
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.70842
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.61372
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11277
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.325267
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.588924
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.330555
(406.58, 14.30, 245.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.668257
