¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(429.58, 15.06, 246.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141762
(429.58, 15.06, 246.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.528216
(429.58, 15.06, 246.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955002
(429.58, 15.06, 246.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341747
(429.58, 15.06, 246.06) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.282969
(429.58, 15.06, 246.06) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.019516
(429.58, 15.06, 246.06) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.995246
(429.58, 15.06, 246.06) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.006529
(429.58, 15.06, 246.06) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 8.227541
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.79363
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.98305
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.09547
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.14411
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.14845
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.10676
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.00728
(429.58, 15.06, 246.06) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.80886
