¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17065
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39577
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61728
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84889
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15337
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.439756
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687153
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.955709
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248246
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567948
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918833
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305519
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733681
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210255
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.677673
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951232
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27263
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61763
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9888
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38915
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82221
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02455
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23128
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44773
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67448
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9122
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12235
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.33217
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55149
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78086
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22813
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49226
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.438088
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685365
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953723
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246083
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.565582
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916224
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302635
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730493
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206728
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.624934
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.927743
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20597
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51114
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8745
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26615
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68942
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01908
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22561
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44183
µ(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66836
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86472
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06371
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2716
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48888
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71611
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95389
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64012
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98542
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436443
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683569
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951832
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243998
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563316
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913696
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299834
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727383
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192198
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565683
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91665
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1942
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48984
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80532
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14705
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56099
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00932
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22196
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43803
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62173
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8107
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00796
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21399
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42938
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65454
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8902
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13691
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0833
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.434862
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68183
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949937
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241958
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561095
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91124
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.297155
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724358
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.138894
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507759
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906649
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18362
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47863
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79339
·(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12988
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49031
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87728
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22019
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3924
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57199
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75937
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95502
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15936
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37289
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5962
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82975
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07431
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3305
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43335
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.680145
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94811
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239931
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558899
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.908854
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294484
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.721445
(434.55, 15.14, 248.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086702
