¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.75115
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.747998
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.746749
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.703982
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092534
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403442
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744464
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118132
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521932
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973325
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.477171
(442.71, 14.35, 259.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04302
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.08565
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.05235
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.02121
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.992206
(442.71, 14.35, 259.84) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.965308
