¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.578792
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.57946
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.801212
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.781909
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.763531
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.746058
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.72947
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.713749
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.698878
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.684841
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.671623
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.659211
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.647591
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.636751
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.62668
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.617369
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.608806
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.600985
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.593896
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.587533
