¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255351
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.615973
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.018786
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.467973
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.965949
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528128
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84317
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57992
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44205
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48308
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77319
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39419
(439.75, 13.94, 279.64) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 16.52588
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82985
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.671072
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.882326
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.111471
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360914
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631834
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.92827
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.253777
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.614695
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.017365
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.465503
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.96317
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.524981
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83932
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57956
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44525
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47706
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77111
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39161
(439.75, 13.94, 279.64) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 16.56475
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.90602
(439.75, 13.94, 279.64) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 16.80495
(439.75, 13.94, 279.64) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 16.64694
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670251
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.881438
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110672
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359915
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630745
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927076
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.252317
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613528
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.016065
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.463188
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.960568
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.522035
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16067
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57961
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44883
×(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48074
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76935
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38944
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41274
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98297
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.669494
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.880622
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.109946
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.359002
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629746
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.925982
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.250969
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.612467
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014886
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461028
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.958139
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.519284
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15753
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58005
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45276
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48534
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76787
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38758
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41043
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.06074
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.668803
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.879873
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.109291
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358171
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.62884
(439.75, 13.94, 279.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924988
