¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ì (438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.731505
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.741409
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.800808
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.862613
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.837119
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.829006
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.82224
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.816816
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.812728
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.809971
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.808545
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136299
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.378397
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641704
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.902508
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134859
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384848
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.801376
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.417654
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.387747
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.359508
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.17068
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.151464
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.133739
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.117485
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.102686
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.089328
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.077399
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.066884
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.057774
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.05006
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.949616
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.939871
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.010881
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.003802
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.9981
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 6.994273
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.010897
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.028976
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.134048
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375937
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639058
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909667
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142534
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.393141
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850699
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.713788
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.682514
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.652979
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.134814
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.115688
Ä (438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.098045
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.081866
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.067136
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.053838
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.041961
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.031493
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.022422
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.014741
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.008441
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.003517
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.288437
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.280928
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.274851
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.271444
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.289387
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.308847
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131804
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.373532
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636403
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917199
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.150599
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401812
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900181
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.478069
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998095
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436956
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.385718
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.360213
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.33631
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.313982
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.293208
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.273963
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.256235
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.239998
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.225239
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.211944
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.200099
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.189692
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.590425
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.582434
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.575934
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.573034
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.592468
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.613486
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129593
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371093
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633775
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.920454
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159037
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440707
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949805
Æ (438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.493375
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989648
(438.64, 13.87, 286.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433722
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 8.230495
(438.64, 13.87, 286.95) (422.71, 12.20, 307.19) (15.65, 9.44, 8.72) Truck 7.682034
