¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383551
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859526
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274697
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863323
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2531
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52755
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82247
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17002
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44107
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6269
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91721
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36227
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78864
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15701
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54989
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01265
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63905
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90174
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.12138
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.478124
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902851
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383697
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.854579
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269262
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805847
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21755
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48992
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79936
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14531
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41684
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60182
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79521
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17422
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63435
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9934
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37621
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9186
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85811
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0707
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125326
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475267
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902495
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38327
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.849716
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.263911
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748275
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18321
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45552
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7773
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12175
(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39439
¹(436.58, 14.33, 305.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57856
