¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.69063
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66944
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80633
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81074
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2219
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8258
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00421
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77432
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10079
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.37255
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65551
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.15381
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9173
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.353043
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717877
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129734
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.553371
(432.26, 12.08, 343.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.084943
