¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.961502
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436083
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974237
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56683
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21133
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94204
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77731
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68329
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67745
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72779
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26528
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86378
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40796
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88584
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53273
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7617
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0001
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24847
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50727
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78001
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.878623
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103094
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.349462
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045328
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35262
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.689542
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060417
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.470662
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.918357
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389756
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91898
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5095
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14667
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86853
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69301
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59356
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57404
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59716
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17661
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71013
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31409
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80643
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4486
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76542
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00395
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25241
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.51129
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26201
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861706
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.084772
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.327755
³(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019921
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.324856
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.659016
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026809
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433416
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875718
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.34595
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864611
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45323
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08319
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79641
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61034
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5058
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47305
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47067
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09131
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60861
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18977
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73067
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.36724
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77269
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01141
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26009
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5192
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11589
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.844933
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.066611
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717568
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.994804
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.297362
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628872
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993544
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.39656
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833666
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302833
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813784
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39576
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02082
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72561
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52931
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42579
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37439
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34813
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00927
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52115
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07026
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65854
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28973
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78361
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02259
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27152
®(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82623
(432.28, 12.12, 345.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.828307
