¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.535917
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.538569
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.542109
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.546543
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.551873
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.558698
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603803
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803378
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020922
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25074
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.499174
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.769704
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.963181
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.685823
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.656159
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.627764
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.610409
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.597165
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.584888
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.577401
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.572061
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.567623
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.564083
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.561436
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.559682
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.558816
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.558841
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.559753
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.561556
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.56425
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.567838
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.572324
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.577713
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.585616
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.590639
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788892
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.005258
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234247
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481268
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750042
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 5.063828
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.716284
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.68634
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.657675
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.637854
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.624531
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.612181
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.604058
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.598716
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.594281
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.59075
ß(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.588116
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.58638
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.58554
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.585593
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.586539
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.588382
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.591121
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.594759
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.599302
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.604751
(433.54, 10.51, 361.77) (410.37, 2.42, 366.47) (8.51, 3.42, 3.69) Truck 4.613762
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.577644
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.774692
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.989786
(433.54, 10.51, 361.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.217991
