¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
…(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909527
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.222927
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585395
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012938
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.487244
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0715
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78921
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64597
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70117
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97799
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98266
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81807
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4954
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2575
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71201
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.040684
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.213886
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.38505
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.560501
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.748944
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.951765
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.170711
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407671
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644321
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.874151
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121895
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389624
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.661192
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953414
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270494
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615638
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007319
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.48101
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05527
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79337
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65082
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70158
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96915
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92075
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90889
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60457
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38891
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86403
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.074501
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.250252
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.425035
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.603342
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794954
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001313
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.224197
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458285
‡(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674035
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906061
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156263
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.426763
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703016
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.998618
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.319505
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668928
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050878
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.475821
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05989
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79867
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65703
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7036
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9607
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86151
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00392
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73026
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52604
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02239
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.108905
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.287242
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.465859
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647126
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841984
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051985
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278924
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486723
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704531
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938803
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.191565
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464887
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74605
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045168
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369951
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723845
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.110888
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535778
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06554
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80518
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66458
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70713
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95418
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80492
(426.50, 9.70, 364.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12361
