¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72321
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74309
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91358
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 14.05711
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.94978
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.92718
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.90819
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.89191
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.8784
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.86759
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.8595
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.85411
(414.27, 7.34, 361.48) (387.50, 1.14, 351.86) (0.81, 2.16, 0.81) Human 13.89935
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600518
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.811248
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039684
(414.27, 7.34, 361.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288089
