¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90972
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.88148
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.04719
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.89913
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.34987
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.24974
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.6745
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.922897
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.152867
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.402716
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.67507
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.973044
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.300354
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.661475
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.061831
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.503716
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.995903
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.552143
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18915
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.9615
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.94402
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.76862
