¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.13314
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97873
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.30198
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.832715
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.062741
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.312939
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.586014
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.885184
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.2143
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.578013
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.981985
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.424498
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.845963
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.339785
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.908916
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.47713
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20645
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82103
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50138
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.12546
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04581
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.0462
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25118
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.63716
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21316
(401.80, 6.95, 362.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.07808
