¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.295054
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.646616
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142023
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.780505
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.334823
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.927625
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60303
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37942
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28108
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20246
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60279
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31512
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.97307
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28763
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55243
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79523
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04197
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.29897
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5667
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84572
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.13654
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301987
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.542012
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772978
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.022268
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.292797
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.655925
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168535
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.81146
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.336317
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.929319
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60497
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38166
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2837
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2058
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61412
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31999
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95202
(397.13, 7.18, 360.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16051
