¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99352
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.364
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.36797
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.57658
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.1412
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88588
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.229274
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934712
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243329
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582198
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955965
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233609
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33651
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443663
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555285
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.671617
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792923
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.919403
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051375
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15222
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18859
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11296
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.0055
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 17.889
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.01989
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.43954
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.41146
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215246
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918353
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.225384
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562469
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934145
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.346013
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468191
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.57927
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695044
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.81573
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.941569
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072838
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47479
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87807
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31599
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23532
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72587
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.44591
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.48924
(384.72, 7.16, 356.44) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 18.91284
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.201221
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462823
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207456
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542758
Š(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912377
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3218
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.605286
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720564
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.840722
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.965991
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786313
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20615
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58689
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99932
(384.72, 7.16, 356.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39645
(384.72, 7.16, 356.44) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 14.74012
