¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.286486
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.371281
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.490255
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.61681
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.751658
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.36952
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.356566
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.444817
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.536696
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.632378
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.892321
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.104527
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.58945
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.325624
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.313086
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.301824
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.291826
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.378345
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.622037
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.886487
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.2078
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.110072
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.139839
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.170861
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.203175
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.236827
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.340799
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.457972
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.582562
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.248508
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.224058
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.239868
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.324987
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.413592
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.50585
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.801166
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.47049
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.039526
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.97844
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.96676
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.956284
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.947002
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.069281
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.289306
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.527205
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.826578
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.065791
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.094697
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.124826
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.156218
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.20233
ê(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.311096
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.426527
(372.55, 7.26, 352.22) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.549221
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.109552
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.085584
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.127894
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.210061
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.295584
(372.55, 7.26, 352.22) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.416873
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.3612
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.94214
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.68052
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.668437
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.657505
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.647715
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.639054
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.789709
(372.55, 7.26, 352.22) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.989402
