¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.5818
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.57657
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.834427
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.001383
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.181117
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.37533
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5858
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.815475
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.064831
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.337816
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637989
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475765
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866488
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302036
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790466
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341909
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.969213
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68904
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52338
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50161
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66424
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68758
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66489
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64474
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.62712
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61199
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59936
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.5892
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.58152
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.57628
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.823248
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.989291
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.168131
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.36129
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.570576
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.798665
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046478
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.317703
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096951
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44663
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.834183
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.265933
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749901
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295978
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.916797
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62869
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45314
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41884
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56528
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68978
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66708
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64692
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.6293
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61417
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.60153
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59137
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.58368
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.57845
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.812231
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.977375
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.155341
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.347465
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.555586
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.782118
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028418
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756326
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071053
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418024
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.802398
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.230462
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710063
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25091
