¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.81052
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.80398
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.810884
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.961375
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.122614
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.295774
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.482111
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.683231
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900819
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136995
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394166
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675209
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983483
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.32311
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699084
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.117373
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585497
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.112822
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711199
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39568
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11386
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94123
(341.93, 7.24, 370.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80785
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.97703
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.95761
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.94078
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.9265
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.91477
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.90557
(341.93, 7.24, 370.64) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.8989
