¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020258
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202095
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99433
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.92774
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.81026
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.79705
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.78732
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.78107
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.77829
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.043148
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.112868
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.185516
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.261312
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340469
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.423063
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.509378
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.599599
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.884738
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354399
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586446
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755269
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934291
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097512
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263651
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.439219
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621721
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781395
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.949524
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.126661
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60293
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27923
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.09286
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.08852
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.08763
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.47242
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.46642
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.46382
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.074428
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.14516
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.218943
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.295914
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.376219
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.460111
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.547758
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.645812
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.076208
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549187
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715061
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891016
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059501
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222682
°(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395083
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562697
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718565
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882546
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055264
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237354
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83594
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.28196
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.27443
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.27008
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.26891
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.2709
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.39868
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.16358
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.106698
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.178517
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.253407
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.331548
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.413145
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.498325
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587365
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.82086
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280105
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.676687
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849653
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023519
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183946
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.353367
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506854
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.659058
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819146
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.987652
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165236
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52888
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00499
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.47097
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.4634
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.45904
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.45789
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.45995
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.46522
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.4737
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.139932
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.212834
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.288909
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.368314
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.451195
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.537785
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628252
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.006666
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.497743
­(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810004
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989509
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147313
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312241
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453892
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602701
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759105
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923628
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09689
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24176
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68981
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34226
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.66383
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.64544
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.63034
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.6185
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.60991
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.60456
