¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.31696
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.30446
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.29437
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.2867
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.28143
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.27855
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.27807
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.55987
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75581
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947395
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153414
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375506
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615568
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.889483
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.295215
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.764712
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984247
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600133
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16696
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03274
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9855
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.941
(341.35, 7.27, 379.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04773
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.36068
(341.35, 7.27, 379.64) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.33597
