¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
…(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.10479
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.10236
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.1023
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.62818
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.830774
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.062366
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.296717
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.52586
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77368
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059122
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.436705
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.911556
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.437953
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829438
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45321
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16381
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98058
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92899
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.2489
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.22239
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.19836
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.1768
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.15768
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.14099
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.1267
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.1148
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.10529
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.09814
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.09336
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.09095
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.09088
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628306
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.831226
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.062856
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.299974
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529375
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777483
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.065038
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443293
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.916402
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.442281
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.824399
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44745
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15723
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97295
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92012
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.23971
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.21322
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.18921
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.16767
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.14857
†(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.13189
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.11761
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.10573
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.09622
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.08909
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.08432
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.0819
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.08184
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628571
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.831727
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.0634
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303461
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.533137
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.781553
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070977
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44991
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.921046
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446649
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819447
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44187
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15085
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96562
(341.73, 7.25, 379.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91152
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.23292
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.20645
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.18246
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.16093
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.14184
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.12517
(341.73, 7.25, 379.79) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.1109
