¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.474089
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.608654
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.749258
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896318
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050215
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.238316
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418127
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585844
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782642
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.989655
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20764
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43745
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67997
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84416
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00865
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18038
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35983
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54742
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24027
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.611765
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846302
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087868
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20557
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328344
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456571
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590476
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730446
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876793
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063883
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280558
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429582
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578064
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774479
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981153
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19874
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42813
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66395
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82085
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98455
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15556
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33416
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52089
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81805
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613517
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848184
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.073036
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190206
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312502
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440136
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.573487
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712799
ƒ(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.898424
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.105469
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311189
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442471
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579458
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.767774
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974093
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19137
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42039
(346.86, 6.63, 383.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64328
